ダイオウドウ,67,0.6967003
パッチラゴン,11,0.91019994
パッチルドン,13,0.501214
ウオノラゴン,67,0.8365617
ウオチルドン,67,0.71942675
ジュラルドン,13,0.98526037
ドラメシヤ,57,0.47659978
ドロンチ,21,0.7286428
ドラパルト,42,0.98381126
ムゲンダイナ,74,0.26546636
ザルード,20,0.2908926
